Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,laisser,let
11,car,because
13,aucun,no
14,laisse,leash
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,savais,knew
31,étaient,were
32,attention,Warning
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
46,dont,whose
47,trouve,find
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
67,minutes,minutes
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aimerais,would like to
74,aujourd'hui,today
75,mari,husband
77,enfin,finally
78,espère,hope
79,eau,water
80,attendez,Wait
81,parti,left
83,boulot,job
84,arrêter,Stop
85,dirait,would say
86,terre,Earth
88,donne,given
92,chérie,sweetheart
93,gros,large
94,plutôt,rather
95,aura,will have
96,filles,girls
97,jouer,to play
